#
#  muricauda_eckloniaecyc 1.0 Genes link table generated on Sun Jun 25, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
BSI__CLIN_U_DA1__K141_137024_1			
BSI__CLIN_U_DA1__K141_137024_2			
BSI__CLIN_U_DA1__K141_137024_3			
BSI__CLIN_U_DA1__K141_137024_4			
BSI__CLIN_U_DA1__K141_137024_5			
BSI__CLIN_U_DA1__K141_137024_6			
BSI__CLIN_U_DA1__K141_137024_7			
BSI__CLIN_U_DA1__K141_137024_8			
BSI__CLIN_U_DA1__K141_137024_9		truA	
BSI__CLIN_U_DA1__K141_137024_10			
BSI__CLIN_U_DA1__K141_137024_11			
BSI__CLIN_U_DA1__K141_137024_12			
BSI__CLIN_U_DA1__K141_137024_13			
BSI__CLIN_U_DA1__K141_137024_14			
BSI__CLIN_U_DA1__K141_137024_15		doxX	
BSI__CLIN_U_DA1__K141_137024_16		tpiA	
BSI__CLIN_U_DA1__K141_137024_17		prmA	
BSI__CLIN_U_DA1__K141_137024_18		clpS	
BSI__CLIN_U_DA1__K141_137024_19			
BSI__CLIN_U_DA1__K141_137024_20			
BSI__CLIN_U_DA1__K141_137024_21			
BSI__CLIN_U_DA1__K141_137024_22			
BSI__CLIN_U_DA1__K141_137024_23			
BSI__CLIN_U_DA1__K141_137024_24			
BSI__CLIN_U_DA1__K141_137024_25			
BSI__CLIN_U_DA1__K141_137024_26			
BSI__CLIN_U_DA1__K141_137024_27			
BSI__CLIN_U_DA1__K141_137024_28			
BSI__CLIN_U_DA1__K141_137024_29			
BSI__CLIN_U_DA1__K141_137024_30			
BSI__CLIN_U_DA1__K141_137024_31			
BSI__CLIN_U_DA1__K141_137024_32			
BSI__CLIN_U_DA1__K141_137024_33		apt	
BSI__CLIN_U_DA1__K141_137024_34			
BSI__CLIN_U_DA1__K141_137024_35			
BSI__CLIN_U_DA1__K141_137024_36			
BSI__CLIN_U_DA1__K141_137024_37			
BSI__CLIN_U_DA1__K141_137024_38			
BSI__CLIN_U_DA1__K141_137024_39			
BSI__CLIN_U_DA1__K141_137024_40		yrbG	
BSI__CLIN_U_DA1__K141_95238_1			
BSI__CLIN_U_DA1__K141_137024_41			
BSI__CLIN_U_DA1__K141_95238_2		prfC	
BSI__CLIN_U_DA1__K141_137024_42		glnA	
BSI__CLIN_U_DA1__K141_95238_3			
BSI__CLIN_U_DA1__K141_137024_43		purM	
BSI__CLIN_U_DA1__K141_95238_4			
BSI__CLIN_U_DA1__K141_137024_44			
BSI__CLIN_U_DA1__K141_95238_5			
BSI__CLIN_U_DA1__K141_137024_45			
BSI__CLIN_U_DA1__K141_137024_46			
BSI__CLIN_U_DA1__K141_137024_47			
BSI__CLIN_U_DA1__K141_137024_48			
BSI__CLIN_U_DA1__K141_137024_49		prfA	
BSI__CLIN_U_DA1__K141_137024_50		pyrF	
BSI__CLIN_U_DA1__K141_137024_51			
BSI__CLIN_U_DA1__K141_137024_52			
BSI__CLIN_U_DA1__K141_137024_53			
BSI__CLIN_U_DA1__K141_137024_54			
BSI__CLIN_U_DA1__K141_137024_55			
BSI__CLIN_U_DA1__K141_94247_1			
