BSI__CLIN_U_DA1__K141_194032_85-MONOMER	BSI__CLIN_U_DA1__K141_194032_85		NIL	
BSI__CLIN_U_DA1__K141_194032_86-MONOMER	BSI__CLIN_U_DA1__K141_194032_86		NIL	
BSI__CLIN_U_DA1__K141_194032_87-MONOMER	BSI__CLIN_U_DA1__K141_194032_87		NIL	
BSI__CLIN_U_DA1__K141_194032_88-MONOMER	BSI__CLIN_U_DA1__K141_194032_88		NIL	
BSI__CLIN_U_DA1__K141_194032_89-MONOMER	BSI__CLIN_U_DA1__K141_194032_89		NIL	
BSI__CLIN_U_DA1__K141_194032_90-MONOMER	BSI__CLIN_U_DA1__K141_194032_90		NIL	
BSI__CLIN_U_DA1__K141_194032_91-MONOMER	BSI__CLIN_U_DA1__K141_194032_91		NIL	
BSI__CLIN_U_DA1__K141_194032_92-MONOMER	BSI__CLIN_U_DA1__K141_194032_92		NIL	
BSI__CLIN_U_DA1__K141_194032_93-MONOMER	BSI__CLIN_U_DA1__K141_194032_93		NIL	
BSI__CLIN_U_DA1__K141_194032_94-MONOMER	BSI__CLIN_U_DA1__K141_194032_94		NIL	
BSI__CLIN_U_DA1__K141_194032_95-MONOMER	BSI__CLIN_U_DA1__K141_194032_95		NIL	
BSI__CLIN_U_DA1__K141_194032_96-MONOMER	BSI__CLIN_U_DA1__K141_194032_96		NIL	
BSI__CLIN_U_DA1__K141_194032_97-MONOMER	BSI__CLIN_U_DA1__K141_194032_97		NIL	
BSI__CLIN_U_DA1__K141_194032_98-MONOMER	BSI__CLIN_U_DA1__K141_194032_98		NIL	
BSI__CLIN_U_DA1__K141_194032_99-MONOMER	BSI__CLIN_U_DA1__K141_194032_99		NIL	
BSI__CLIN_U_DA1__K141_194032_100-MONOMER	BSI__CLIN_U_DA1__K141_194032_100		NIL	
BSI__CLIN_U_DA1__K141_194032_101-MONOMER	BSI__CLIN_U_DA1__K141_194032_101		NIL	
BSI__CLIN_U_DA1__K141_194032_102-MONOMER	BSI__CLIN_U_DA1__K141_194032_102		NIL	
BSI__CLIN_U_DA1__K141_194032_103-MONOMER	BSI__CLIN_U_DA1__K141_194032_103		NIL	
BSI__CLIN_U_DA1__K141_194032_104-MONOMER	BSI__CLIN_U_DA1__K141_194032_104		NIL	
BSI__CLIN_U_DA1__K141_194032_105-MONOMER	BSI__CLIN_U_DA1__K141_194032_105		NIL	
BSI__CLIN_U_DA1__K141_194032_106-MONOMER	BSI__CLIN_U_DA1__K141_194032_106		NIL	
BSI__CLIN_U_DA1__K141_194032_107-MONOMER	BSI__CLIN_U_DA1__K141_194032_107		NIL	
BSI__CLIN_U_DA1__K141_194032_108-MONOMER	BSI__CLIN_U_DA1__K141_194032_108		NIL	
BSI__CLIN_U_DA1__K141_194032_109-MONOMER	BSI__CLIN_U_DA1__K141_194032_109		NIL	
BSI__CLIN_U_DA1__K141_116922_1-MONOMER	BSI__CLIN_U_DA1__K141_116922_1		NIL	
BSI__CLIN_U_DA1__K141_194032_110-MONOMER	BSI__CLIN_U_DA1__K141_194032_110		NIL	
BSI__CLIN_U_DA1__K141_116922_2-MONOMER	BSI__CLIN_U_DA1__K141_116922_2		NIL	
